Flow Duration,Total Fwd Packets,Total Bwd Packets,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,SYN Flag Count,RST Flag Count,ACK Flag Count,Average Packet Size,Label
44829,12,15,564.6691503360967,17.40816484535159,462.0411423932862,0,0,0,1,0,0,607.5455379107661,BENIGN
236,705,6,266952.0845138795,6626.996148175992,96.90592074092943,2,0,0,341,8,31,99.76838217274864,BruteForce
41241,13,15,2210.708556968843,37.93295856696232,6888.757705369748,0,0,0,1,0,2,776.5518575282663,BENIGN
24084,5,12,660.7251264153165,34.12581500460722,1298.7392724916788,0,0,0,1,0,1,215.33324112694524,BENIGN
2371,11,19,214.49211995377053,4.552058389486309,9664.863838486435,0,0,0,0,0,2,501.3433908600975,BENIGN
313,3049,6,865516.484324632,6607.002715571642,83.06573645534105,0,0,1,238,9,65,98.66917592155869,BruteForce
232,1518,3,208839.98313253673,4971.283247110424,44.17209762879645,2,1,0,194,38,3,47.82245419613156,PortScan
22480,4,18,823.3074055110092,17.10988107733118,300.2914708806113,0,0,0,0,0,1,709.3191157588932,BENIGN
19754,13,8,2691.514880051407,8.427773025054709,4505.906643069566,0,0,0,1,0,4,124.33443929786787,BENIGN
41599,11,3,2794.807799678931,22.440211186358543,4010.8848080085663,0,0,0,0,0,3,512.5171264912135,BENIGN
34575,8,19,2108.245883680185,24.635220523085188,8738.860531288094,0,0,0,0,0,3,626.6380312071934,BENIGN
9120,2,13,1758.7805101614952,1.1235289908671362,3699.2257379481475,0,0,0,1,0,2,702.618346846718,BENIGN
39862,15,18,1947.922019974078,0.7533155353724744,1856.9751587834087,0,0,0,1,0,0,713.0268340375867,BENIGN
3874,8,3,3823.294972515284,21.827919425943666,874.6718987922956,0,0,0,0,0,2,795.3082939584905,BENIGN
120,3022,9,288901.34644720773,4723.099054238349,15.260331569727855,0,1,0,160,22,89,86.26947201544922,DDoS
99,2727,1,315895.44453228806,1086.2681027101557,43.38118746624383,1,0,1,171,16,55,77.10975738081416,PortScan
36455,1,13,2047.8271825520542,47.39547041628717,2571.5359183071973,0,0,0,1,0,2,764.9658704582299,BENIGN
26281,15,2,3836.3577360106997,6.785139248090071,3546.105229251614,0,0,0,0,0,4,578.0315730498493,BENIGN
7645,18,4,1798.7828474433336,16.585486616113872,2770.212200549501,0,0,0,0,0,0,313.718324062387,BENIGN
49134,14,12,3798.0739953534735,33.492650301501186,8133.307579915666,0,0,0,1,0,1,156.45629722525234,BENIGN
27057,11,5,470.02447050163494,8.42000719468156,5904.742470814752,0,0,0,0,0,3,249.18491557544894,BENIGN
27636,15,1,4282.907289811448,36.29182550929231,3667.9009965357013,0,0,0,0,0,0,101.24141733775033,BENIGN
406,1021,3,543235.1142205069,780.9270197711202,15.042006019890518,1,1,1,307,30,49,85.58054154389305,DDoS
17088,14,3,2992.7866471483967,34.61885048508756,7354.380242824791,0,0,0,0,0,1,751.5377649096082,BENIGN
24492,11,4,4470.92528824687,43.47222491262747,9979.302285723834,0,0,0,1,0,3,610.9056437030532,BENIGN
3263,19,9,4183.9059374795115,5.628128018743749,7642.5391384214145,0,0,0,0,0,2,145.0675817726423,BENIGN
265,4090,8,406851.6373385796,881.4241628466564,76.5937025315359,2,1,0,240,26,34,54.870121559822174,DDoS
496,2181,5,483803.3713203646,6462.617954783935,24.040027101478017,2,0,1,289,15,1,76.62725423018219,BruteForce
319,4786,7,818945.6054254917,2983.60939720882,59.45184417497103,0,1,0,256,23,27,98.28135171012971,DDoS
20859,18,1,738.5581416473254,17.34678914810433,8096.253453536165,0,0,0,0,0,2,88.07259076299648,BENIGN
7397,13,6,2638.5859545701956,15.006406122079774,9412.72452664187,0,0,0,1,0,2,366.5391776815907,BENIGN
